engine_id,role,target_month,pilot_window,evaluation_clock,required_sources,required_history,source_coverage,source_binding,lineage_status,evidence_class,PIT_status,future_information_status,reproducibility_status,readiness_status,blocker_code,evidence_reference
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-01,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-02,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-03,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-04,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-05,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-06,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-07,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-08,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-09,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
CAUSAL_PATCH,MONTHLY_H1_EXPERT,2025-10,RETROSPECTIVE_VALIDATION_WINDOW,PRIOR_MONTH_END_ORIGIN,"[""FROZEN_CAUSAL_PATCH_INPUTS""]",frozen L=252/P=21/D=32 origin-safe history,2023-01..2026-07,EXACT_GOVERNED_IDENTITY_ONLY,IMMUTABLE_GITHUB_EVIDENCE,HISTORICAL_REPLAY,PASS,ZERO_FUTURE_INFORMATION_REQUIRED_NO_PERFORMANCE_INPUTS_READ,PASS,READY_PROVEN,NONE,gold_axis_2026/patch_repro_v1/locked_replay_v7_daily_feature_pit_evidence.json
